File,Key,English,Danish,German,Spanish,Italian,Portuguese
form/ProgressForm,tip6,"When assigning units, right-click on the + and - icons to change the numbers by 10 at a time","Når enheder tildeles, kan højreklik på + og - ikonerne bruges til at ændre tallene med 10 ad gangen","Klicken Sie beim Zuweisen der Einheiten mit der rechten Maustaste auf die Symbole ''+'' oder ''-'', um die Zahl um jeweils 10 zu ändern.","Cuando estés asignando unidades, haz click derecho sobre los iconos + y - para cambiar el número de 10 en 10",Quando assegni le unità fai un click destro del mouse su + e - per incrementarle di 10 alla volta,"Quando atribuindo unidades, dê um clique direito no icone de + e - para alterar os números para 10 por vez."
form/ProgressForm,tip7,Move selected units into a building by right-clicking the building,Flyt markerede enheder ind i en bygning ved at højreklikke på bygningen.,"Verschieben Sie die ausgewählten Einheiten in ein Gebäude, indem Sie mit der rechten Maustaste auf das Gebäude klicken.",Lleva las unidades seleccionadas a un edificio haciendo click derecho en él,Muovi le unità selezionate all''interno di un edificio con un click destro sull''edificio,Mova as unidades selecionadas para dentro de um edifício ao dar um clique direito no edifício.
form/ProgressForm,tip8,"The more units you have in the quarters, the faster it will produce more peons","Jo flere enheder du har i barakkerne, desto hurtigere vil de producere flere arbejdere","Je mehr Einheiten zu einem Quartier gehören, desto schneller werden Knechte produziert.","Cuantas más unidades tengas en el barracón, mas rápidamente podrán producir peones",Più unità hai nel Casone più velocemente produrranno peoni,"Quanto mais unidades você tiver em um alojamento, mais rápido ele vai produzir mais peões"
form/ProgressForm,tip9,"The more units you have in the quarters, the faster it will produce a chieftain","Jo flere enheder du har i barakkerne, desto hurtigere vil de producere en høvding","Je mehr Einheiten zu einem Quartier gehören, desto schneller wird ein Häuptling produziert.","Cuantas más unidades tengas en el barracón, más rápidamente podrán producir un jefe tribal",Più unità hai nel Casone più velocemente produrranno un capo tribù,"Quanto mais unidades você tiver em um alojamento, mais rápido ele vai produzir um chefe"
form/ProgressForm,tip10,Peons can tear down towers faster than warriors,Arbejdere kan rive tårne ned hurtigere end krigere,Knechte können Türme schneller einreißen als Krieger.,Los peones pueden derribar torres más rápidamente que los guerreros,I peoni abbattono le torri più velocemente dei guerrieri,Peões podem derrubar torres mais rápido que guerreiros
form/ProgressForm,tip11,Moving units by using attack on the ground will cause them to attack enemy units on sight,"Hvis enheder flyttes ved at angribe jorden, vil de angribe alle fjender de møder på vejen","Wenn Sie Einheiten bewegen, indem Sie am Boden einen Angriff durchführen, greifen sie alle feindlichen Einheiten in Sichtweite an.",Mover unidades haciendo que ataquen un punto del suelo hará que ataquen cualquier enemigo avistado,Muovendo le unità cliccando attacca sul terreno li farà attaccare i nemici a vista,Mover unidades usando o comando de ataque no chão vai fazer com que elas ataquem unidades inimigas à vista
form/ProgressForm,tip12,Press Space or 5 on the numpad to enter the Map Mode,Tryk Mellemrum eller 5 på det numeriske tastatur for at komme til oversigtskortet,"Drücken Sie die LEERTASTE oder die 5 auf dem Ziffernblock, um den Kartenmodus aufzurufen.",Pulsa espacio o el 5 del teclado numérico para entrar en el Modo Mapa,Premi Spazio o 5 nel tastierino numerico per entrare nel Modo Mappa,Pressione Espaço ou 5 no teclado numérico para entrar no Modo Mapa
form/ProgressForm,tip13,Hover the mouse pointer above units and buildings to monitor their status,Hold musemarkøren over enheder og bygninger for at se deres status,"Bewegen Sie den Mauszeiger über die Einheiten und Gebäude, um ihren Status anzuzeigen.",Pasa el cursor por encima de unidades y edificios para ver su estado,Passa il mouse sopra le unità e gli edifici per monitorare il loro stato,Posicione o ponteiro do mouse sobre unidades e edifícios para monitorar seus status
form/ProgressForm,tip14,Units and buildings of team members are marked with blue circles when selected,"Enheder og bygninger fra allierede hold markeres med en blå cirkel, når de er valgt","Einheiten und Gebäude von Teammitgliedern werden mit blauen Kreisen angezeigt, wenn sie markiert wurden.",Las unidades y edificios de miembros de tu equipo se verán con un círculo azul al ser seleccionados,Le unità e gli edifici del team sono contrassegnati da un cerchio blu quando li selezioni,Unidades e edifícios de membros de equipe são marcados com circulos azuis quando selecionados
form/ProgressForm,tip15,Pan around the map by moving the mouse pointer to the edge of the screen or by using the arrow keys,Bevæg dig rundt på kortet ved at flytte musen til kanten af skærmen eller ved at bruge piletasterne,"Navigieren Sie in der Karte, indem Sie den Mauszeiger zum Bildschirmrand bewegen oder die Pfeiltasten verwenden.",Desplázate por el mapa llevando el ratón a los extremos de la pantalla o con los cursores,Muoviti all''interno della mappa spostando il mouse agli angoli dello schermo o usando le frecce di navigazione,Faça uma panorâmica pelo mapa ao mover o ponteiro do mouse para a ponta da tela ou ao usar as setas do teclado
form/ProgressForm,tip16,Rotate the view using 4 and 6 on the numpad or Insert and Delete,Drej rundt ved at bruge 4 og 6 på det numeriske tastatur eller Insert og Delete,Zum Drehen der Ansicht verwenden Sie die Ziffern 4 und 6 auf dem Ziffernblock oder die EINFG- und ENTF-TASTE.,Rota la vista pulsando 4 o 6 del teclado numérico o con Insert y Supr,Ruota la vista usando 4 e 6 del tastierino numerico o Ins e Canc,Rotacione a visão usando 4 e 6 no teclado numérico ou Insert e Delete
form/ProgressForm,tip17,Direct where your units should assemble when leaving a building by setting a rally point,"Angiv hvor dine enheder skal samles, når de forlader en bygning ved at angive et samlingspunkt","Legen Sie einen Versammlungsort fest, um zu bestimmen, wo sich die Einheiten zusammenfinden sollen, wenn sie ein Gebäude verlassen.",Dirige hacia donde quieres que salgan tus unidades del barracón poniendo un Punto de reunión,Decidi dove le tue unità devono riunirsi quando lasciano un edificio impostando un Luogo di raduno,Direcione onde suas unidades devem se agrupar quando sairem de um edifício usando um ponto de encontro
form/ProgressForm,tip18,Look up and down by using 2 and 8 on the numpad or Home and End,Kig op og ned ved at bruge 2 og 8 på det numeriske tastatur eller Home og End,Mit den Ziffern 2 und 8 auf dem Ziffernblock oder mit der POS1- und ENDE-TASTE können Sie nach oben oder unten blicken.,Mira hacia arriba y abajo pulsando 2 y 8 del teclado numérico o con Inicio y Fin,Guarda su e giù usando 2 e 8 del tastierino numerico o Home e Fine,Olhe para cima e para baixo usando 2 e 8 no teclado numérico ou Home e End
form/ProgressForm,tip19,Weapons made from the tropical chicken are able to rebounce and hit multiple enemies,Våben lavet med tropisk kylling kan hoppe fra enhed til enhed og ramme flere fjender,"Waffen, die aus Tropenhühnchen hergestellt werden, können abprallen und mehrere Feinde treffen.",Las armas hechas con pollo tropical pueden rebotar y golpear varias veces al enemigo,Le armi costruite con i polli tropicali possono rimbalzare e colpire più nemici,Armas feitas da galinha tropical conseguem quicar e acertar vários inimigos
form/ProgressForm,tip20,"In Map Mode, your units and buildings are highlighted with your player color",På oversigtskortet er dine enheder og bygninger markeret med din spillerfarve,Im Kartenmodus werden Ihre Einheiten und Gebäude mit Ihrer Spielerfarbe markiert.,"En el Modo Mapa, tus edificios y unidades están resaltados con tu color de jugador","Nel Modo Mappa, le tue unità ed edifici sono evidenziati con il tuo colore","No Modo Mapa, suas unidades e edifícios são marcados com a sua cor de jogador"
form/ProgressForm,tip21,Zoom to another area of the island quickly by switching to Map Mode and clicking somewhere on the map,Hop hurtigt til en anden del af øen ved at skifte til oversigtskortet og klikke et sted på kortet,"Um schnell auf einen anderen Bereich der Insel einzuzoomen, wechseln Sie in den Kartenmodus und klicken auf einen beliebigen Ort auf der Karte.","Haz un rápido zoom a otra parte de la isla, cambiando a Modo Mapa y pulsando en el sitio elegido",Zuma rapidamente ad un''altra area dell''isola attivando il Modo Mappa e cliccando su un punto,Dê um zoom em outra area da ilha rapidamente trocando pelo Modo Mapa e clicando em algum lugar do mapa
form/ProgressForm,tip22,Select multiple units by holding down shift while clicking on more units,Vælg flere enheder ved at holde Shift nede og klikke på enhederne,"Zum gleichzeitigen Markieren mehrerer Einheiten halten Sie die UMSCHALTTASTE gedrückt, während Sie auf die Einheiten klicken.",Selecciona varias unidades dejando pulsado Control mientras haces click en ellas,Seleziona più unità tenendo premuto il tasto shift mentre clicchi su di loro,Selecione multiplas unidades segurando o shift enquanto clica em mais unidades
form/ProgressForm,tip23,Select multiple units by dragging a box around the units you want to select,Vælg flere enheder ved at trække en boks udenom de enheder du vil vælge,Zum Markieren mehrerer Einheiten ziehen Sie ein Rechteck um die zu markierenden Einheiten.,Selecciona varias unidades trazando un rectángulo con el ratón en la zona donde estén,Seleziona più unità tracciando un quadrato attorno alle unità da selezionare,Selecione multiplas unidades arrastando uma caixa ao redor das unidades que você quer selecionar
form/ProgressForm,tip24,"To construct new buildings quickly, use the Transport function to send out a group of peons loaded with wood",For hurtigere at bygge nye bygninger kan Transportfunktionen bruges til at sende arbejdere ud med træ,"Zum schnellen Errichten neuer Gebäude verwenden Sie die Transportfunktion, um eine Gruppe von holzbeladenen Knechten loszusenden.","Para construir nuevos edificios rápidamente, usa la función Transporte para enviar unos peones con madera",Per costruire nuovi edifici velocemente usa la funzione Trasporta per far uscire un gruppo di peoni carichi di legno,"Para construir novos edifícios rapidamente, utilize a função de transporte para enviar um grupo de peões carregados com madeira"
form/ProgressForm,tip25,"The towers are well-suited for defending buildings, peons or narrow passages","Tårnene er velegnede til at forsvare bygninger, arbejdere eller snævre passager","Die Türme eignen sich bestens zur Verteidigung von Gebäuden, Knechten und engen Passagen.","Las torres son muy adecuadas para defender edificios, peones o pasos estrechos.","Le torri sono ottime per difendere gli edifici, i peoni o passaggi stretti","As torres servem muito bem para defender construções, peões ou passagens estreitas"
form/ProgressForm,tip26,Build extra quarters to gain new peons more quickly,Byg flere barakker for hurtigere at få flere arbejdere,"Bauen Sie ein zusätzliches Quartier, um schnell neue Knechte zu gewinnen.",Construye barracones extra para generar peones más rápidamente,Costruisci nuovi casoni per creare nuovi peoni più rapidamente,Construa alojamentos extras para ganhar novos peões mais rapidamente
form/ProgressForm,tip27,Building armories close to valuable resources will allow the peons to gather the resources much faster,Ved at bygge arsenaler tæt ved værdifulde ressourcer kan dine arbejdere hurtigere samle ressourcer,"Wenn Zeughäuser in der Nähe von nützlichen Ressourcen gebaut werden, können die Knechte diese viel schneller zusammentragen.",Construir las armerías cerca de los recursos naturales permite que los peones recolecten recursos mas rápidamente,Costruire le armerie vicino alle risorse permette ai peoni di raccoglierle più rapidamente ,Construir armarias perto de recursos valiosos vai permitir com que os peões peguem os recursos muito mais rápido
form/ProgressForm,tip28,"To keep producing a weapon type indefinitely, increase production until an infinity symbol appears","For at fortsætte produktionen af et våben på ubestemt tid, kan produktionen øges indtil et uendelighedstegn vises","Um eine Waffenart unbegrenzt zu produzieren, steigern Sie die Produktion, bis ein Unendlichkeitssymbol angezeigt wird.","Para seguir construyendo un tipo de arma indefinidamente, aumenta la producción hasta ver un símbolo de infinito",Per produrre un tipo di arma continuamente aumenta la produzione fino al simbolo di infinito,"Para continuar produzindo um tipo de arma indefinidamente, aumente a produção até que um símbolo de infinito apareça"
form/ProgressForm,tip29,Change game speed by pressing + or - on the numeric keypad,Juster hastigheden ved at trykke + eller - på det numeriske tastatur,"Die Spielgeschwindigkeit ändern Sie, indem Sie auf dem Ziffernblock + oder - drücken.",Cambia la velocidad del juego pulsando + o - en el teclado numérico,Cambia la velocità del gioco premendo + o - sul tastierino numerico,Mude a velocidade da partida pressionando + ou - no teclado numérico
form/ProgressForm,tip30,"When playing a game, press Enter to message all players and Shift + Enter to message team players","Tryk Enter under et spil for at skrive en besked til alle spillere, og Shift + Enter for at skrive til allierede","Während des Spiels können Sie allen Spielern eine Nachricht senden, indem Sie die EINGABETASTE drücken. Durch Drücken der EINGABE- und der UMSCHALTTASTE können Sie Ihren Teammitgliedern eine Nachricht senden.","Cuando estés jugando, pulsa Enter para enviar mensajes a todos y Mayúsculas + Enter para enviar sólo a tu equipo","Mentre giochi, premi Enter per messaggiare con tutti i giocatori o Shift + Enter per messaggiare con il tuo team","Dentro de uma partida, pressione Enter para enviar mensagens para todos os jogadores e Shift + Enter para apenas os membros de equipe"
form/ProgressForm,tip31,"When a red, green or blue arrow flashes, press Tab to jump to the area of interest","Tryk Tab for at hoppe til et interesseområde, når en rød, grøn eller blå pil blinker","Wenn ein roter, grüner oder blauer Pfeil aufleuchtet, drücken Sie die TAB-TASTE, um zum betreffenden Gebiet zu wechseln.","Cuando una flecha roja, verde o azul parpadee, pulsa el Tabulador para ir rápidamente a la zona","Quando una freccia rossa, verde o blu lampeggia, premi Tab per andare all''area di interesse","Quando uma seta vermelha, verde ou azul piscarem, pressione Tab para pular para a área de interesse"
form/ProgressForm,tip32,When units have been stunned by the Terrifying Toot they are easier to hit,"Når enheder er blevet lammet af Terror Truttet, er de lettere at ramme","Wenn Einheiten vom Grässlichen Gedudel betäubt wurden, sind sie einfacher zu schlagen.","Cuando las unidades han sido aturdidas por el Lur Liante, son más fáciles de golpear",Quando le unità sono state stordite dal Boato Terrificante sono facili da colpire,"Quando unidades forem atordoadas pelo Toque Aterrorizante, elas serão mais fáceis de atingir"
form/ProgressForm,tip33,The Ravaging Roar inflicts more damage at close range,Det Bragende Brøl gør mere skade på klods hold,Der Destruktive Donner richtet bei geringer Distanz mehr Schaden an.,El Rugido Rompedor produce más daño en distancias cortas,Il Ruggito Devastante infligge più danni a corto raggio,O Rugido Devastador inflinge mais dano à distâncias próximas
form/ProgressForm,tip34,A unit keeps getting damaged by the Stinking Stew as long as it is engulfed in its fumes,"En enhed bliver ved med at være påvirket af en Stinkende Stuvning, så længe den befinder sig i dens dampe","Eine Einheit wird vom Ekligen Eintopf beeinträchtigt, solange sie von seinen Dämpfen umhüllt ist.",Una unidad recibirá daños del Puchero Pútrido mientras siga respirando sus humos,Una unità rimane avvelenata dallo Stufato Nauseante se ne inala i fumi,Uma unidade fica sendo ferida pelo Ensopado Fedorento enquanto ela é engolida pela sua fumaça
form/ProgressForm,tip35,"Friendly units are used to the Stinking Stew, so they are more resistant",Venlige enheder er vant til den Stinkende Stuvning og er derfor mere modstandsdygtige,"Verbündete Einheiten sind an den Ekligen Eintopf gewöhnt, sie sind also resistenter gegen seine Gerüche.","Las unidades amigas están acostumbradas al Puchero Pútrido, así que son más resistentes a su efecto",Le unità alleate sono abituate allo Stufato Nauseante per potervi resistere di più,"Unidades aliadas estão acostumadas com o Ensopado Fedorento, então elas são mais resistentes"
form/ProgressForm,tip36,The Crackling Cloud can be used to damage enemies hiding in fortified camps,"Den Tossede Tordensky kan bruges til at ramme fjender, der gemmer sig i befæstede lejre","Die Wummernde Wolke kann Feinde vernichten, die sich in befestigten Camps verstecken.",La Nube Neutrina puede usarse para atacar a enemigos que se esconden en campamentos fortificados,La Nuvola Crepitante può essere usata per danneggiare i nemici nascosti in campi fortificati,A Núvem Crepitante pode ser usada para ferir inimigos escondidos dentro de acampamentos fortificados
form/ProgressForm,tip37,Use Ctrl + B and click on the ground to set a beacon that alerts your team,"Ved at bruge Ctrl + B og klikke på jorden gives et signal, der alarmerer dit hold","Drücken Sie STRG + B, und klicken Sie auf den Boden, um ein Leuchtsignal zu setzen, das Ihr Team alarmiert.",Pulsa Control + b y haz click en el suelo para colocar una señal que alerte a tu equipo,Usa Ctrl + B e clicca sul terreno per accendere un faro che allerta il tuo team,Utilize Ctrl + B e clique no chão para colocar uma marcação que alerta sua equipe
form/ProgressForm,tip38,Press N to cycle through idle peons,Tryk N for at skifte mellem arbejdere der ikke laver noget,Drücken Sie N um einzelne Knechte auszuwählen.,Pulsa N para ciclar entre los peones que no están haciendo nada.,Premi N per passare da un peone all''altro,Precione N para alternar entre os peões ociosos
form/QuitForm,confirm_quit,Are you sure you want to quit Tribal Trouble?,Er du sikker på du vil afslutte Tribal Trouble?,Möchten Sie Tribal Trouble wirklich beenden?,¿Seguro que quieres salir de Tribal Trouble?,Sei sicuro di voler uscire da Tribal Trouble?,Você tem certeza de que quer sair do Tribal Trouble?
form/QuitForm,confirm_quit_waiting_for_ack,"If you quit Tribal Trouble now, the game server may not receive the result from the most recently completed game. Do you still want to quit?","Hvis du afslutter Tribal Trouble nu, vil spilserveren måske ikke modtage resultatet fra det senest gennemførte spil. Vil du alligevel afslutte?","Wenn Sie Tribal Trouble jetzt beenden, werden die Ergebnisse des letzten Spiels möglicherweise nicht an den Server übertragen. Möchten Sie das Spiel dennoch beenden?","Si sales de Tribal Trouble ahora, el servidor del juego puede que no reciba los resultados de la partida más reciente. ¿Aún así quieres salir?","Se esci ora da Tribal Trouble, il server non riceverà il risultato delle ultime partite completate. Vuoi uscire?","Se você sair do Tribal Trouble agora, o servidor do jogo talvez não receba o resultado da partida mais recente a ter sido finalizada. Você ainda quer sair?"
form/RosterPanel,caption,Roster,Holdliste,Dienstplan,Lista,Elenco,Elenco
form/SaveForm,save_caption,Save,Gem,Speichern,Guardar,Salva,Salvar
form/SaveForm,cancel,Cancel,Annuller,Abbrechen,Cancelar,Annulla,Cancelar
form/SaveForm,save,Save,Gem,Speichern,Guardar,Salva,Salvar
form/SavePresetDialog,save_preset_caption,Save preset,Gem forudindstilling,Voreinstellung speichern,Guardar preajuste,Salva preimpostazione,Salvar predefinição
form/SavePresetDialog,preset_name,Preset name:,Forudindstillet navn:,Voreinstellungsname:,Nombre del preajuste:,Nome predefinito:,Nome da predefinição:
form/SelectGameMenu,games_caption,Games,Spil,Spiele,Partidas,Partite,Partidas
form/SelectGameMenu,multiplayer_caption,Multiplayer,Flere spillere,Multiplayermodus,Multijugador,Multigiocatore,Multijogador
form/SelectGameMenu,rated,Rated,Ligaspil,Gewertet,Puntuación,Voto,Pontuação
form/SelectGameMenu,game_name,Game name,Spilnavn,Spielname,Nombre de la partida,Nome partita,Nome da partida
form/SelectGameMenu,speed,Speed,Hastighed,Geschwindigkeit,Velocidad,Velocità,Velocidade
form/SelectGameMenu,map_size,Map size,Ø størrelse,Kartengröße,Tamaño isla,Dimensioni,Tamanho do mapa
form/SelectGameMenu,join,Join,Tilslut,Beitreten,Unirse,Accedi,Se juntar
form/SelectGameMenu,game_info,Game Info,Spilinformation,Info zum Spiel,Resumen,Info partita,Informação da partida
form/SelectGameMenu,update_list,Update game list,Opdater spilliste,Spielliste aktualisieren,Actualizar lista,Aggiorna lista partite,Atualizar lista de partidas
form/SelectGameMenu,create_game,Create new game,Opret nyt spil,Neues Spiel erstellen,Crear nueva partida,Crea nuova partita,Criar nova partida
form/SelectGameMenu,join_game,Join game,Tilslut spil,Mitspielen,Jugar,Gioca,Se juntar à partida
form/SelectGameMenu,league_caption,The League,Ligaen,Die Liga,La Liga,La Lega,A Liga
form/SelectGameMenu,league_description,Tribal Trouble League,Tribal Trouble Ligaen,Tribal Trouble-Liga,La Liga de Tribal Trouble,Tribal Trouble League,A Liga de Tribal Trouble
form/SelectGameMenu,openskill_league_caption,The League,Ligaen,Die Liga,La Liga,La Lega,A Liga
form/SelectGameMenu,openskill_league_description,Tribal Trouble League (OpenSkill),Tribal Trouble League (OpenSkill),Tribal Trouble League (OpenSkill),Liga de Problemas Tribales (OpenSkill),Lega dei guai tribali (OpenSkill),Liga Tribal Trouble (OpenSkill)
form/SelectGameMenu,rank,#,#,#,Pos,#,#
form/SelectGameMenu,name,Name,Navn,Name,Nombre,Nome,Nome
form/SelectGameMenu,rating,Rating,Point,Einstufung,Puntuación,Voto,Pontuação
form/SelectGameMenu,mu,Mu,Mu,Mu,Mu,Mi,Mu
form/SelectGameMenu,sigma,Sigma,Sigma,Sigma,Sigma,Sigma,Sigma
form/SelectGameMenu,wins,Wins,Sejre,Siege,Victorias,Vittorie,Vitórias
form/SelectGameMenu,losses,Losses,Nederlag,Niederlagen,Derrotas,Sconfitte,Derrotas
form/SelectGameMenu,invalid,Invalid,Ugyldige,Ungültig,No válidas,Invalide,Inválido
form/SelectGameMenu,update_scores,Update highscores,Opdater rangliste,Highscores aktualisieren,Actualizar puestos,Aggiorna punteggio,Atualizar estatísticas
form/SelectGameMenu,chat_caption,Chat,Chat,Chat,Charla,Chat,Chat
form/SelectGameMenu,chat_rooms_caption,Chat rooms,Chatrum,Chaträume,Salas de charla,Stanze,Salas de chat
form/SelectGameMenu,room,Room,Rum,Raum,Salas,Stanza,Sala
form/SelectGameMenu,users,Users,Brugere,Benutzer,Usuarios,Utenti,Usuários
form/SelectGameMenu,update_rooms,Update room list,Opdater rumliste,Raumliste aktualisieren,Actualizar lista de Salas,Aggiorna lista stanze,Atualizar lista de salas
form/SelectGameMenu,create_room,Create new room,Opret nyt rum,Neuen Raum erstellen,Crear nueva sala,Crea nuova stanza,Criar nova sala
form/SelectGameMenu,join_room,Join room,Tilslut rum,Raum betreten,Unirse a sala,Entra ,Se juntar à sala
form/SelectGameMenu,logout,Logout,Log ud,Logout,Desconectarse,Esci,Deslogar
form/SelectGameMenu,nick_unavailable,You have joined as {0}. To get a real user account and enter the ranking list you have to register the game.,Du er tilsluttet som {0}. For at få en ægte brugerkonto og spille i Ligaen skal du registrere spillet.,"Sie sind als {0} beigetreten. Um ein richtiges Benutzerkonto erhalten und in die Rangliste aufgenommen werden zu können, müssen Sie sich für das Spiel registrieren.",Te has unido como {0}. Para conseguir una cuenta de usuario real y entrar en la clasificaciones tienes que registrar el juego.,Sei entrato come {0}. Per avere un account utente ed entrare nella lista punteggi devi registrare il gioco.,"Você se juntou como {0}. Para conseguir uma conta de usuário real e entrar para a lista de ranking, você deve registrar o jogo."
form/SelectGameMenu,connection_lost,Connection lost,Mistede forbindelsen,Die Verbindung wurde unterbrochen.,Conexión perdida,Connessione persa,Conexão perdida
form/SelectGameMenu,game,Game,Spil,Spiel,Partida,Partita,Partida
form/SelectGameMenu,update_notice,You need to update your version of Tribal Trouble to join this game. Please select Update from the main menu.,Du skal opdatere din udgave af Tribal Trouble for at tilslutte dig dette spil. Vælg Opdater fra hovedmenuen.,"Diese Version von Tribal Trouble muss aktualisiert werden, damit Sie mitspielen können. Bitte wählen Sie die Option ''Aktualisieren'' im Hauptmenü.","Necesitas actualizar tu versión de Tribal Trouble para unirte a esta partida. Por favor, selecciona Actualizar desde el menú principal.",Devi aggiornare la tua versione di Tribal Trouble per unirti a questa partita. Seleziona Aggiorna dal menu principale.,"Você precisa atualizar a sua versão de Tribal Trouble para se juntar à essa partida. Por favor, selecione Atualizar no menu principal."
form/SelectGameMenu,old_game,This game was created on an older version of Tribal Trouble than yours.,"Dette spil blev oprettet i en udgave af Tribal Trouble, der er ældre end din.",Dieses Spiel wurde mit einer älteren als der von Ihnen verwendeten Version von Tribal Trouble erstellt.,Este juego fue creado con una versión de Tribal Trouble anterior a la tuya.,Questa partita è stata creata con una vecchia versione di Tribal Trouble.,Essa partida foi criada numa versão mais antiga de tribal trouble que a sua.
form/SelectGameMenu,min_wins,You have to win {0} normal games before you can play rated games.,"Du skal vinde {0} normale spil, før du kan spille ligaspil.","Sie müssen {0} normale Spiele gewinnen, bevor Sie gewertete Spiele spielen können.",Tienes que ganar al menos {0} partidas normales antes de poder entrar en partidas puntuadas.,Devi vincere {0} partite normali prima di entrare nei giochi a punteggio.,Você precisa vencer {0} partidas normais antes de jogar em partidas ranqueadas.
form/SelectGameMenu,users_and_max,{0}/{1},{0}/{1},{0}/{1},{0}/{1},{0}/{1},{0}/{1}
form/ShowChangesForm,update_complete,Update complete,Færdig med opdateringen,Aktualisierung abgeschlossen,Se ha completado la actualización,Aggiornamento completato,Atualização concluída
form/ShowChangesForm,restart,"You need to restart the game before the changes take effect.

Choose OK to quit the game (recommended).
Choose Cancel to continue without restarting.","Du skal genstarte spillet, før ændringerne træder i kraft

Vælg OK for at afslutte spillet (anbefalet)
Vælg Annuller for at fortsætte uden at genstarte.","Sie müssen das Spiel neu starten, bevor die Änderungen wirksam werden.

Klicken Sie auf ''OK'', um das Spiel zu beenden (empfohlen).
Klicken sie auf ''Abbrechen'', um das Spiel ohne Neustart fortzusetzen.","Necesitas reiniciar el juego para que los cambios se apliquen

Elige OK para salir del juego (recomendado)
Elije Cancelar para continuar sin reiniciarlo.","Devi riavviare il gioco perchè i cambiamenti abbiano effetto.

Scegli OK per chiudere il gioco (raccomandato).
Scegli Annulla per continuare senza riavviare.","Você precisa reiniciar o jogo antes das mudanças terem efeito

Escolha OK para sair do jogo (recomendado).
Escolha Cancelar para continuar sem reiniciar."
form/TerrainMenu,new_game,New multiplayer game,Flere spillere,Neues Multiplayerspiel,Nueva partida multijugador,Nuova partita multigiocatore,Nova partida multijogador
form/TerrainMenu,skirmish,New single player game,En spiller,Neues Einzelspielerspiel,Nueva partida de un jugador,Nuovo partita giocatore singolo,Nova partida de um jogador
form/TerrainMenu,standard_options,Standard options,Standard indstillinger,Standardoptionen,Opciones básicas,Opzioni standard,Opções básicas
form/TerrainMenu,advanced_options,Advanced options,Avancerede indstillinger,Erweiterte Optionen,Opciones avanzadas,Opzioni avanzate,Opções avançadas
form/TerrainMenu,game_name,Game name:,Spillets navn:,Spielname:,Nombre de la partida:,Nome gioco:,Nome da partida:
form/TerrainMenu,default_name,{0}''s Game,{0}''s Spil,{0}''s Spiel,Partida de {0},{0}''s game,Partida de {0}
form/TerrainMenu,rated_game,Rated game,Ligaspil,Gewertetes Spiel,Partida puntuada,Voto gioco,Partida ranqueada
form/TerrainMenu,rated_game_tip,Play for points (Requires {0} wins),Spil om point (kræver {0} sejre),Um Punkte spielen (erfordert {0} Siege),Partida por puntos (requiere {0} victorias),Gioco a punti (Richiede {0} vittorie),Jogue por pontos (Requer {0} vitórias)
form/TerrainMenu,gamespeed,Game speed:,Hastighed:,Spielgeschwindigkeit:,Velocidad del juego:,Velocità gioco:,Velocidade da partida:
form/TerrainMenu,island_size,Island size:,Ø størrelse:,Inselgröße:,Tamaño de la isla:,Dimensioni isole:,Tamanho da ilha:
form/TerrainMenu,terrain_type,Terrain type:,Terræntype:,Geländeart:,Tipo de terreno:,Tipo di terreno:,Tipo de terreno:
form/TerrainMenu,map_code,Map code:,Ø-kode,Kartencode:,Código del mapa:,Codice mappa:,Código do mapa:
form/TerrainMenu,min,Min,Min,Min,Mínimo,Minimo,Min
form/TerrainMenu,max,Max,Max,Max,Máximo,Massimo,Máx
form/TerrainMenu,hills,Hills:,Bakker:,Hügel:,Colinas:,Colline:,Colinas:
form/TerrainMenu,trees,Trees:,Træer:,Bäume:,Árboles:,Alberi:,Árvores:
form/TerrainMenu,resources,Resources:,Ressourcer:,Ressourcen:,Recursos:,Risorse:,Recursos:
form/TerrainMenu,human,Human,Menneske,Mensch,Humano,Umano,Humano
form/TerrainMenu,open,Open,Åben,Offen,Abierto,Aprire,Aberto
form/TerrainMenu,closed,Closed,Lukket,Niemand,Cerrado,Chiuso,Fechado
form/TerrainMenu,easy_ai,Easy AI,Let computer,Einfache KI,IA fácil,Facile,IA fácil
form/TerrainMenu,normal_ai,Normal AI,Normal computer,Normale KI,IA normal,Normale,IA normal
form/TerrainMenu,hard_ai,Hard AI,Svær computer,Starke KI,IA difícil,Difficile,IA difícil
form/TerrainMenu,team,Team {0},Hold {0},Team {0},Equipo {0},Team {0},Equipe {0}
form/TerrainMenu,player,Player {0}:,Spiller {0}:,Spieler {0}:,Jugador {0}:,Giocatore {0}:,Jogador {0}:
form/TerrainMenu,players,Players:,Spillere:,Spieler:,Jugadores:,Giocatori:,Jogadores:
form/TerrainMenu,enter_map_code,Enter map code...,Indtast ø-kode...,Kartencode eingeben ...,Código del mapa...,Inserisci codice mappa...,Insira o código do mapa...
form/TerrainMenu,min_name_length,Game name must be at least {0} characters.,Spillets navn skal være på mindst {0} tegn.,Der Spielname muss mindestens {0} Zeichen umfassen.,El nombre de la  partida debe tener al menos {0} caracteres.,Il nome gioco dev''essere di almeno {0} caratteri.,Nome da partida precisa ter pelo menos {0} caracteres.
form/TerrainMenu,min_num_teams,There must be at least {0} teams in the game.,Der skal være mindst {0} hold i spillet.,Es müssen mindestens {0} Teams im Spiel sein.,Tiene que haber al menos {0} equipos en la partida.,Ci devono essere almeno {0} team nel gioco.,Precisam-se ter pelo menos {0} equipes na partida.
